id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2479461,Cozy 2 BR Home w/ Porch and Yard,1609942,Macon,,Hennepin,45.01344,-93.30985,Entire home/apt,500,1,67,2017-04-02,1.14,8,173
2582488,Beautiful Condo 3 blocks from Convention Center,13223756,Sue,,Hennepin,44.9639,-93.27137,Private room,95,2,118,2018-10-28,1.97,1,311
2586769,"Beautiful home, great location.",13245311,Rachel,,Hennepin,45.03199,-93.26575,Private room,80,3,0,,,1,0
2624465,"Close to airport, colleges, trails",13441539,Kate,,Ramsey,44.90687,-93.187,Private room,36,1,39,2018-08-26,0.65,1,34
2627364,Cute 1Br Home Near Minnehaha Falls on Light Rail,13456552,Margots,,Hennepin,44.90421,-93.21011,Entire home/apt,100,2,2,2017-05-29,0.04,5,257
2636661,4BR Downtown Mansion District Suite,8180661,A.R.,,Hennepin,44.96184,-93.27416,Entire home/apt,249,2,114,2018-12-16,1.92,4,287
2641883,S&J#20~EntireBldg14Br6baSleeps41!,1207842,Scott & Jenna,,Anoka,45.04254,-93.24907,Entire home/apt,970,2,0,,,34,358
2642964,S&J#29Y~9BR3ba Bus2ConvCtr&Dtown!,1207842,Scott & Jenna,,Anoka,45.04168,-93.24981,Entire home/apt,557,2,0,,,34,358
2708433,Restful main-floor room (breakfast included),13860071,Dorian,,Anoka,45.13553,-93.10448,Private room,38,2,90,2018-11-16,2.58,3,218
2720490,Private living space. Walking distance to shops.,13195379,Marie,,Hennepin,44.84507,-93.42088,Private room,50,2,115,2019-01-02,1.96,1,329
2721258,Affordable comfort near U of MN,1307338,Serafina,,Hennepin,44.9632,-93.20883,Entire home/apt,95,2,56,2018-05-14,0.95,2,0
2747014,An urban bungalow,12708437,Adam,,Hennepin,45.02412,-93.31057,Private room,200,1,0,,,1,0
2764751,Peaceful and Elegant Wooded Respite,12099117,Michael,,Ramsey,44.91602,-93.01,Private room,80,1,4,2018-05-13,0.13,1,365
2776924,Private Lake Home Retreat w/ HotTub,1575131,Steve,,Dakota,44.87312,-93.07334,Entire home/apt,625,2,199,2019-02-24,3.39,2,319
2792076,"4BD/3BA Updated, Modern Uptown Home  & Parking",454513,Matt,,Hennepin,44.95794,-93.28533,Entire home/apt,139,2,73,2019-02-17,1.43,1,52
2811753,"Front Room, near downtown",11248111,Bryan,,Hennepin,44.98164,-93.30752,Private room,33,2,51,2018-09-01,0.88,1,14
2893252,1BD Heart of Uptown 97 Walk Score,6561277,Luke & Katie,,Hennepin,44.95319,-93.29542,Entire home/apt,99,2,314,2019-02-26,5.36,2,161
2905607,NeoEden's Loft Room,8562602,Christine,,Hennepin,44.95583,-93.28783,Private room,39,2,16,2016-11-21,0.28,2,20
2949919,"Private 1BR by Abbott Hospital, Downtown, MSP 206",15058892,Dan,,Hennepin,44.95551,-93.26327,Entire home/apt,110,3,17,2018-12-18,0.32,5,343
2991833,1BR Downtown Mansion District Suite,8180661,A.R.,,Hennepin,44.96193,-93.27476,Entire home/apt,92,1,153,2019-02-21,2.65,4,289
3031670,UPTOWN *LAKE VIEW* LOPPET! FINAL FOUR!,6563029,Kirsten & Bruce,,Hennepin,44.94596,-93.32061,Entire home/apt,119,2,1,2014-06-16,0.02,4,358
3050591,Charming Home Views St Croix River!,15530729,Kirk And Barb,,Washington,45.04254,-92.7985,Entire home/apt,600,2,21,2018-10-21,0.39,1,313
3133827,"Charming room, in NE Minneapolis!!!",3061149,Maia,,Hennepin,44.9944,-93.25617,Private room,41,2,55,2019-01-07,0.96,2,202
3157497,Private Guest House Loft on Lake!,16021847,Christie,,Wright,45.05812,-94.04837,Entire home/apt,150,1,32,2018-10-16,0.67,1,333
3160251,Saint Croix River Escape (FLW),4534591,JT & Helen,,St. Croix,45.04449,-92.77672,Entire home/apt,260,3,16,2018-07-30,0.36,1,321
3177179,St. Anthony Park basement apartment,6779248,Robert,,Ramsey,44.98269,-93.19824,Entire home/apt,125,3,32,2018-12-20,0.58,3,309
3192896,"COZY CAPE COD
Final 4 Package
Smokers Welcome!",16183634,Valeria,,Hennepin,45.02089,-93.31824,Private room,95,1,40,2019-03-03,0.72,1,364
3200063,The House on The Hill,4282318,Al,,Hennepin,44.9283,-93.25584,Entire home/apt,155,1,137,2019-02-15,2.40,6,49
3208420,Clean and Comfortable home,13872241,Thelma,,Scott,44.79854,-93.52784,Private room,40,2,37,2018-09-21,0.65,1,1
3277237,The Sweet Spot,16567737,"Renée, Tom And Mavis",,Hennepin,44.93635,-93.25349,Entire home/apt,89,2,164,2018-12-23,2.88,1,24
